COUNTRY,CODE,Attack Count,YEAR,COUNT
Afghanistan,AFG,0,,
Afghanistan,ALB,0,,
Albania,DZA,0,,
Algeria,ASM,0,,
American Samoa,AND,0,,
Andorra,AGO,0,,
Angola,AIA,0,,
Anguilla,ATG,0,,
Antigua and Barbuda,ARG,0,,
Argentina,ARM,0,,
Armenia,ABW,0,,
Aruba,AUT,0,,
Australia,AUS,0,,
Austria,AZE,0,,
Azerbaijan,BHM,0,,
"Bahamas, The",BHR,0,,
Bahrain,BGD,0,,
Bangladesh,BRB,0,,
Barbados,BLR,0,,
Belarus,BEL,0,,
Belgium,BLZ,0,,
Belize,BEN,0,,
Benin,BMU,0,,
Bermuda,BTN,0,,
Bhutan,BOL,0,,
Bolivia,BIH,0,,
Bosnia and Herzegovina,BWA,0,,
Botswana,BRA,0,,
Brazil,VGB,0,,
British Virgin Islands,BRN,0,,
Brunei,BGR,0,,
Bulgaria,BFA,0,,
Burkina Faso,MMR,0,,
Burma,BDI,0,,
Burundi,CPV,0,,
Cabo Verde,KHM,0,,
Cambodia,CMR,0,,
Cameroon,CYM,0,,
Canada,CAN,1,2009,1 - IdentityThreat
Cayman Islands,CAF,0,,
Central African Republic,TCD,0,,
Chad,CHL,0,,
Chile,COL,0,,
China,CHN,0,,
Colombia,COM,0,,
Comoros,COD,0,,
"Congo, Democratic Republic of the",COG,0,,
"Congo, Republic of the",COK,0,,
Cook Islands,CRI,0,,
Costa Rica,CIV,0,,
Cote d'Ivoire,HRV,0,,
Croatia,CUB,0,,
Cuba,CUW,0,,
Curacao,CYP,0,,
Cyprus,CZE,0,,
Czech Republic,DJI,0,,
Denmark,DNK,0,,
Djibouti,DMA,0,,
Dominica,DOM,0,,
Dominican Republic,ECU,0,,
Ecuador,EGY,0,,
Egypt,SLV,0,,
El Salvador,GNQ,0,,
Equatorial Guinea,ERI,0,,
Eritrea,EST,0,,
Estonia,ETH,0,,
Ethiopia,FLK,0,,
Falkland Islands (Islas Malvinas),FRO,0,,
Faroe Islands,FJI,0,,
Fiji,FIN,0,,
Finland,FRA,0,,
France,PYF,0,,
French Polynesia,GAB,0,,
Gabon,GMB,0,,
"Gambia, The",GEO,0,,
Georgia,DEU,0,,
Germany,GHA,0,,
Ghana,GIB,0,,
Gibraltar,GRC,0,,
Greece,GRL,0,,
Greenland,GRD,0,,
Grenada,GUM,0,,
Guam,GTM,0,,
Guatemala,GGY,0,,
Guernsey,GNB,0,,
Guinea-Bissau,GIN,0,,
Guinea,GUY,0,,
Guyana,HTI,0,,
Haiti,HND,0,,
Honduras,HKG,0,,
Hong Kong,HUN,0,,
Hungary,ISL,0,,
Iceland,IND,0,,
India,IDN,0,,
India 1,IRN,0,,
Indonesia,IRQ,0,,
Iran,ISR,0,,
Iraq,IMN,0,,
Ireland,IRL,1,2009,1 - IdentityThreat
Isle of Man,ITA,0,,
Israel,JAM,0,,
Italy,JOR,0,,
Jamaica,JEY,0,,
Japan,JPN,0,,
Jersey,KAZ,0,,
Jordan,KOR,0,,
Kazakhstan,KIR,0,,
Kenya,KEN,0,,
Kiribati,PRK,0,,
"Korea, North",KSV,0,,
"Korea, South",KWT,0,,
Kosovo,KGZ,0,,
Kuwait,LAO,0,,
Kyrgyzstan,LVA,0,,
Laos,LBN,0,,
Latvia,LSO,0,,
Lebanon,LBR,0,,
Lesotho,LBY,0,,
Liberia,LIE,0,,
Libya,LTU,0,,
Liechtenstein,LUX,0,,
Lithuania,MAC,0,,
Luxembourg,MKD,0,,
Macau,MDG,0,,
Macedonia,MWI,0,,
Madagascar,MYS,0,,
Malawi,MDV,0,,
Malaysia,MLI,0,,
Maldives,MLT,0,,
Mali,MHL,0,,
Malta,MRT,0,,
Marshall Islands,MUS,0,,
Mauritania,MEX,0,,
Mauritius,FSM,0,,
Mexico,MDA,0,,
"Micronesia, Federated States of",MCO,0,,
Moldova,MNG,0,,
Monaco,MNE,0,,
Mongolia,MAR,0,,
Montenegro,MOZ,0,,
Morocco,NAM,0,,
Mozambique,NPL,0,,
Namibia,NLD,0,,
Nepal,NCL,0,,
Netherlands,NGA,0,,
New Caledonia,NIC,0,,
New Zealand,NZL,1,2009,1 - IdentityThreat
Nicaragua,NER,0,,
Nigeria,NIU,0,,
Niger,MNP,0,,
Niue,NOR,0,,
Northern Mariana Islands,OMN,0,,
Norway,PAK,0,,
Oman,PLW,0,,
Pakistan,PAN,0,,
Palau,PNG,0,,
Panama,PRY,0,,
Papua New Guinea,PER,0,,
Paraguay,PHL,0,,
Peru,POL,0,,
Philippines,PRT,0,,
Poland,PRI,0,,
Portugal,QAT,0,,
Puerto Rico,ROU,0,,
Qatar,RUS,0,,
Romania,RWA,0,,
Russia,KNA,0,,
Rwanda,LCA,0,,
Saint Kitts and Nevis,MAF,0,,
Saint Lucia,SPM,0,,
Saint Martin,VCT,0,,
Saint Pierre and Miquelon,WSM,0,,
Saint Vincent and the Grenadines,SMR,0,,
Samoa,STP,0,,
San Marino,SAU,0,,
Sao Tome and Principe,SEN,0,,
Saudi Arabia,SRB,0,,
Senegal,SYC,0,,
Serbia,SLE,0,,
Seychelles,SGP,0,,
Sierra Leone,SXM,0,,
Singapore,SVK,0,,
Sint Maarten,SVN,0,,
Slovakia,SLB,0,,
Slovenia,SOM,0,,
Solomon Islands,ZAF,0,,
Somalia,SSD,0,,
South Africa,ESP,0,,
South Sudan,LKA,0,,
Spain,SDN,0,,
Sri Lanka,SUR,0,,
Sudan,SWZ,0,,
Suriname,SWE,0,,
Swaziland,CHE,0,,
Sweden,SYR,0,,
Switzerland,TWN,0,,
Syria,TJK,0,,
Taiwan,TZA,0,,
Tajikistan,THA,0,,
Tanzania,TLS,0,,
Thailand,TGO,0,,
Timor-Leste,TON,0,,
Togo,TTO,0,,
Tonga,TUN,0,,
Trinidad and Tobago,TUR,0,,
Tunisia,TKM,0,,
Turkey,TUV,0,,
Turkmenistan,UGA,0,,
Tuvalu,UKR,0,,
Uganda,ARE,0,,
Ukraine,ARE,0,,
United Arab Emirates,ARE,0,,
United Kingdom,GBR,6,2009,6 - IdentityThreat
United States,USA,96,2009,96 - IdentityThreat
Uruguay,URY,0,,
Uzbekistan,UZB,0,,
Vanuatu,VUT,0,,
Venezuela,VEN,0,,
Vietnam,VNM,0,,
Virgin Islands,VGB,0,,
West Bank,WBG,0,,
Yemen,YEM,0,,
Zambia,ZMB,0,,
Zimbabwe,ZWE,0,,